ウィンドウォーク,SN_WINDWALK
マジックロッド,SA_MAGICROD
ステイシス,WL_STASIS
スペルブレイカー,SA_SPELLBREAKER
テトラボルテックス,WL_TETRAVORTEX_FIRE
テトラボルテックス,WL_TETRAVORTEX_WATER
テトラボルテックス,WL_TETRAVORTEX_WIND
テトラボルテックス,WL_TETRAVORTEX_GROUND
フリーキャスト,SA_FREECAST
グレートエコー,WM_GREAT_ECHO
オートマジシャンスペル,SA_AUTOSPELL
アローストーム,RA_ARROWSTORM
フレイムランチャー,SA_FLAMELAUNCHER
ウォーグライダー,RA_WUGRIDER
フロストウェポン,SA_FROSTWEAPON
マゼンタトラップ,RA_MAGENTATRAP
ライトニングローダー,SA_LIGHTNINGLOADER
パイルバンカー,NC_PILEBUNKER
サイズミックウェポン,SA_SEISMICWEAPON
リアサイドスライド,NC_B_SIDESLIDE
ドラゴノロジー,SA_DRAGONOLOGY
ニュートラルバリアー,NC_NEUTRALBARRIER
ボルケーノ,SA_VOLCANO
FAW シルバースナイパー,NC_SILVERSNIPER
デリュージ,SA_DELUGE
ボディペインティング,SC_BODYPAINT
バイオレントゲイル,SA_VIOLENTGALE
ファイアーウォール,MG_FIREWALL
ランドプロテクター,SA_LANDPROTECTOR
メランコリー,WM_GLOOMYDAY
ディスペル,SA_DISPELL
フォースオブバンガード,LG_FORCEOFVANGUARD
アブラカタブラ,SA_ABRACADABRA
チェンジポリン,SA_MONOCELL
クラスチェンジ,SA_CLASSCHANGE
旋風腿,SR_WINDMILL
サモンモンスター,SA_SUMMONMONSTER
点穴 -快-,SR_GENTLETOUCH_CURE
リバースオーキッシュ,SA_REVERSEORCISH
安らぎの子守唄,WM_LULLABY_DEEPSLEEP
デス,SA_DEATH
生死の境で,WM_DEADHILLHERE
フォーチュン,SA_FORTUNE
シビアレインストーム,WM_SEVERE_RAINSTORM
シビアレインストーム,WM_SEVERE_RAINSTORM_MELEE
テイミングモンスター,SA_TAMINGMONSTER
風車に向かって突撃,MI_RUSH_WINDMILL
？,SA_QUESTION
振動残響,WM_REVERBERATION
振動残響,WM_REVERBERATION_MELEE
振動残響,WM_REVERBERATION_MAGIC
レベルアップ,SA_LEVELUP
レッスン,WM_LESSON
インスタントデス,SA_INSTANTDEATH
エコーの歌,MI_ECHOSONG
フルリカバリー,SA_FULLRECOVERY
ドミニオンインパルス,WM_DOMINION_IMPULSE
コーマ,SA_COMA
ファイアーボルト,MG_FIREBOLT
アドリブ,BD_ADAPTATION
ビヨンドオブウォークライ,WM_BEYOND_OF_WARCRY
アンコール,BD_ENCORE
点穴 -活-,SR_GENTLETOUCH_REVITALIZE
子守歌,BD_LULLABY
サイキックウェーブ,SO_PSYCHIC_WAVE
ニヨルドの宴,BD_RICHMANKIM
サモンアグニ,SO_SUMMON_AGNI
永遠の混沌,BD_ETERNALCHAOS
ファイアーインシグニア,SO_FIRE_INSIGNIA
戦太鼓の響き,BD_DRUMBATTLEFIELD
呪縛陣,SR_CURSEDCIRCLE
ニーベルングの指輪,BD_RINGNIBELUNGEN
ロキの叫び,BD_ROKISWEIL
爆気散弾,SR_RAMPAGEBLASTER
深淵の中に,BD_INTOABYSS
スペシャルファーマシー,GN_S_PHARMACY
不死身のジークフリード,BD_SIEGFRIED
治療,GD_RESTORE
インスピレーション,LG_INSPIRATION
楽器の練習,BA_MUSICALLESSON
パイエティ,LG_PIETY
ミュージカルストライク,BA_MUSICALSTRIKE
プレスティージ,LG_PRESTIGE
不協和音,BA_DISSONANCE
オーディンの力,ALL_ODINS_POWER
寒いジョーク,BA_FROSTJOKE
イクシードブレイク,LG_EXEEDBREAK
口笛,BA_WHISTLE
ライトニングボルト,MG_LIGHTNINGBOLT
夕陽のアサシンクロス,BA_ASSASSINCROSS
レイジバーストアタック,LG_RAGEBURST
ブラギの詩,BA_POEMBRAGI
ブラギの詩,BA_POEMBRAGI2
ディボーション(傭兵),ML_DEVOTION
イドゥンの林檎,BA_APPLEIDUN
トランプル,LG_TRAMPLE
ダンスの練習,DC_DANCINGLESSON
メイルストーム,SC_MAELSTROM
矢撃ち,DC_THROWARROW
カオスパニック,SC_CHAOSPANIC
自分勝手なダンス,DC_UGLYDANCE
ディメンションドア,SC_DIMENSIONDOOR
スクリーム,DC_SCREAM
マンホール,SC_MANHOLE
ハミング,DC_HUMMING
パイロテクニック,EL_PYROTECHNIC
私を忘れないで…,DC_DONTFORGETME
マスカレード：ウィークネス,SC_WEAKNESS
幸運のキス,DC_FORTUNEKISS
マスカレード：アンラッキー,SC_UNLUCKY
サービスフォーユー,DC_SERVICEFORYOU
マスカレード：イグノアランス,SC_IGNORANCE
マスカレード：グルーミー,SC_GROOMY
インビジビリティ,SC_INVISIBILITY
オートシャドウスペル,SC_AUTOSHADOWSPELL
リプロデュース,SC_REPRODUCE
FAW マジックデコイ,NC_MAGICDECOY
君だけは護るよ,WE_MALE
アックスブーメラン,NC_AXEBOOMERANG
あなたに尽くします,WE_FEMALE
サンダーストーム,MG_THUNDERSTORM
あなたに逢いたい,WE_CALLPARTNER
火と大地の研究,NC_RESEARCHFE
トマホーク投げ,ITM_TOMAHAWK
ステルスフィールド,NC_STEALTHFIELD
インフラレッドスキャン,NC_INFRAREDSCAN
エマージェンシークール,NC_EMERGENCYCOOL
シェイプシフト,NC_SHAPESHIFT
セルフディストラクション,NC_SELFDESTRUCTION
メインフレーム改造,NC_MAINFRAME
アクセラレーション,NC_ACCELERATION
バルカンアーム,NC_VULCANARM
アイスバウンドトラップ,RA_ICEBOUNDTRAP
ファイアリングトラップ,RA_FIRINGTRAP
ヴェルデュールトラップ,RA_VERDURETRAP
コバルトトラップ,RA_COBALTTRAP
鋭敏な嗅覚,RA_SENSITIVEKEEN
トゥースオブウォーグ,RA_TOOTHOFWUG
ウォーグダッシュ,RA_WUGDASH
エレクトリックショッカー,RA_ELECTRICSHOCKER
デトネイター,RA_DETONATOR
レンジャーメイン,RA_RANGERMAIN
フィアーブリーズ,RA_FEARBREEZE
リリース,WL_RELEASE
サモンストーン,WL_SUMMONSTONE
サモンストーン,WL_SUMMON_ATK_GROUND
サモンファイアーボール,WL_SUMMONFB
サモンファイアーボール,WL_SUMMON_ATK_FIRE
チェーンライトニング,WL_CHAINLIGHTNING
チェーンライトニング,WL_CHAINLIGHTNING_ATK
コメット,WL_COMET
ドレインライフ,WL_DRAINLIFE
リコグナイズドスペル,WL_RECOGNIZEDSPELL
ディバインプロテクション,AL_DP
マーシュオブアビス,WL_MARSHOFABYSS
ジャックフロスト,WL_JACKFROST
フロストミスティ,WL_FROSTMISTY
ソウルエクスパンション,WL_SOULEXPANSION
デュプレライト,AB_DUPLELIGHT
エクスピアティオ,AB_EXPIATIO
オーラブレイド,LK_AURABLADE
パリイング,LK_PARRYING
ラウダアグヌス,AB_LAUDAAGNUS
コンセントレイション,LK_CONCENTRATION
オラティオ,AB_ORATIO
テンションリラックス,LK_TENSIONRELAX
プラエファティオ,AB_PRAEFATIO
バーサーク,LK_BERSERK
エピクレシス,AB_EPICLESIS
コルセオヒール,AB_CHEAL
アンシラ,AB_ANCILLA
アスムプティオ,HP_ASSUMPTIO
ハルシネーションウォーク,GC_HALLUCINATIONWALK
バジリカ,HP_BASILICA
ベナムプレッシャー,GC_VENOMPRESSURE
メディタティオ,HP_MEDITATIO
ウェポンクラッシュ,GC_WEAPONCRUSH
ソウルドレイン,HW_SOULDRAIN
ポイズニングウェポン,GC_POISONINGWEAPON
マジッククラッシャー,HW_MAGICCRASHER
ダークイリュージョン,GC_DARKILLUSION
魔法力増幅,HW_MAGICPOWER
アバンダンス,RK_ABUNDANCE
プレッシャー,PA_PRESSURE
デーモンベイン,AL_DEMONBANE
サクリファイス,PA_SACRIFICE
ストーンハードスキン,RK_STONEHARDSKIN
ゴスペル,PA_GOSPEL
ジャイアントグロース,RK_GIANTGROWTH
猛虎硬爬山,CH_PALMSTRIKE
ミレニアムシールド,RK_MILLENNIUMSHIELD
伏虎拳,CH_TIGERFIST
ドラゴントレーニング,RK_DRAGONTRAINING
連柱崩撃,CH_CHAINCRUSH
デスバウンド,RK_DEATHBOUND
生命力変換,PF_HPCONVERSION
チェンジインストラクション,HVAN_INSTRUCT
ソウルチェンジ,PF_SOULCHANGE
シュタールホーン,MH_STAHL_HORN
ソウルバーン,PF_SOULBURN
マジックミラー,NPC_MAGICMIRROR
カタール研究,ASC_KATAR
緊急招集,GD_EMERGENCYCALL
エンチャントデッドリーポイズン,ASC_EDP
ソウルブレイカー,ASC_BREAKER
トゥルーサイト,SN_SIGHT
ファルコンアサルト,SN_FALCONASSAULT
念,NJ_NEN
シャープシューティング,SN_SHARPSHOOTING
畳返し,NJ_TATAMIGAESHI
チェーンアクション,GS_CHAINACTION
闇雲,KO_YAMIKUMO
右手鍛錬,KO_RIGHT
左手鍛錬,KO_LEFT
黄泉返し,KO_SETSUDAN
爆裂苦無,KO_BAKURETSU
八方苦無,KO_HAPPOKUNAI
無茶投げ,KO_MUCHANAGE
撒菱,KO_MAKIBISHI
明鏡止水,KO_MEIKYOUSISUI
幻術 -影武者-,KO_ZANZOU
幻術 -驚愕-,KO_KYOUGAKU
幻術 -呪殺-,KO_JYUSATSU
火符：炎天,KO_KAHU_ENTEN
氷符：吹雪,KO_HYOUHU_HUBUKI
風符：青嵐,KO_KAZEHU_SEIRAN
土符：剛塊,KO_DOHU_KOUKAI
術式 -解放-,KO_KAIHOU
術式 -展開-,KO_ZENKAI
幻術 -幻惑-,KO_GENWAKU
十六夜,KO_IZAYOI
幻術 -影踏み-,KG_KAGEHUMI
幻術 -虚無の影-,KG_KYOMU
幻術 -分身-,KG_KAGEMUSYA
幻術 -残月-,OB_ZANGETSU
幻術 -朧幻想-,OB_OBOROGENSOU
幻術 -朧幻想-,OB_OBOROGENSOU_TRANSITION_ATK
幻術 -紅月-,OB_AKAITSUKI
エクラージュへの帰還,ECLAGE_RECALL
スノーフリップ,ECL_SNOWFLIP
ピオニーマミー,ECL_PEONYMAMY
ぴしゃりハーブ,ECL_SADAGUI
世界樹のほこり,ECL_SEQUOIADUST
守護の光,ALL_RAY_OF_PROTECTION
マインドブラスター,MER_INVINCIBLEOFF2
ダーククロー,GC_DARKCROW
アンリミット,RA_UNLIMIT
キングスグレイス,LG_KINGS_GRACE
ウォータードラゴンブレス,RK_DRAGONBREATH_WATER
ラクスアニマ,RK_LUXANIMA
マグマイラプション,NC_MAGMA_ERUPTION
マグマイラプション,NC_MAGMA_ERUPTION_DOTDAMAGE
フリッグの歌,WM_FRIGG_SONG
エレメンタルシールド,SO_ELEMENTAL_SHIELD
閃光連撃,SR_FLASHCOMBO
エスケープ,SC_ESCAPE
オフェルトリウム,AB_OFFERTORIUM
テレキネシスインテンス,WL_TELEKINESIS_INTENSE
フルスロットル,ALL_FULL_THROTTLE
フルスロットル,EVT_FULL_THROTTLE
イリュージョンドーピング,GN_ILLUSIONDOPING
物理アイテム攻撃力最大化,GM_ITEM_ATKMAX
物理アイテム攻撃力最小化,GM_ITEM_ATKMIN
魔法アイテム攻撃力最大化,GM_ITEM_MATKMAX
魔法アイテム攻撃力最小化,GM_ITEM_MATKMIN
ニブルヘイムへの帰還,ALL_NIFLHEIM_RECALL
プロンテラへの帰還,ALL_PRONTERA_RECALL
リッチズコイン,RL_RICHS_COIN
マススパイラル,RL_MASS_SPIRAL
バインドトラップ,RL_B_TRAP
シャッターストーム,RL_S_STORM
スラッグショット,RL_SLUGSHOT
アンチマテリアルブラスト,RL_AM_BLAST
エターナルチェーン,RL_E_CHAIN
クイックドローショット,RL_QD_SHOT
クリムゾンマーカー,RL_C_MARKER
ファイアーレイン,RL_FIRE_RAIN
フォーリンエンジェル,RL_FALLEN_ANGEL
プラチナムアルター,RL_P_ALTER
フリッカー,RL_FLICKER
ハウリングマイン,RL_H_MINE
ヒートバレル,RL_HEAT_BARREL
グラストヘイムへの帰還,ALL_GLASTHEIM_RECALL
タナトスタワーへの帰還,ALL_THANATOS_RECALL
ラッシュアタック,NPC_POWERUP
アジリティアップ,NPC_AGIUP
ダークストライク,NPC_DARKSTRIKE
クリティカルスラッシュ,NPC_CRITICALSLASH
Mレイオブジェネシス,NPC_RAYOFGENESIS
Mサイキックウェーブ,NPC_PSYCHIC_WAVE
ワイドクリティカルウーンズ,NPC_WIDECRITICALWOUND
ダーククロス,NPC_DARKCROSS
リヒタルゼンへの帰還,ALL_LIGHTHALZEN_RECALL
ギルド倉庫拡張,GD_GUILD_STORAGE
ドラム基本スキル,SU_BASIC_SKILL
かみつく,SU_BITE
かくれる,SU_HIDE
ひっかく,SU_SCRATCH
うずくまる,SU_STOOP
ニャンジャンプ,SU_LOPE
にゃん魂,SU_SPRITEMABLE
ソウルアタック,SU_SOULATTACK
新鮮なエビ,SU_FRESHSHRIMP
エビ三昧,SU_BUNCHOFSHRIMP
大トロ,SU_TUNABELLY
マグロシールド,SU_TUNAPARTY
海の力,SU_POWEROFSEA
グルーミング,SU_GROOMING
のどを鳴らす,SU_PURRING
エビパーティー,SU_SHRIMPARTY
海の魂,SU_SPIRITOFSEA
マタタビランス,SU_SV_STEMSPEAR
マタタビの根っこ,SU_SV_ROOTTWIST
イヌハッカメテオ,SU_CN_METEOR
イヌハッカメテオ,SU_CN_METEOR2
イヌハッカシャワー,SU_CN_POWDERING
